"N" "nteeth" "ntime" "truealpha0" "truealpha1" "truealpha2" "truealpha3" "truebeta0" "truebeta1" "truebeta2" "truebeta3" "truenu" "truetau" "truerho" "prob_dropout" "variable" "value" "truth" "var"
500 28 6 2 "0" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.487533836728879 "bbdcwbeta3relbias" -0.778811555898606 "0" "alpha3-1"
500 28 6 2 "-1" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.337480337480337 "bbdcwbeta3relbias" -0.0328584550500181 "-1" "alpha3-1"
500 28 6 2 "-1" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.329145002888504 "cwbeta3relbias" -0.819528312592288 "-1" "alpha3-1"
500 28 6 2 "0" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.489200233508465 "cwbeta3relbias" -0.245514795915368 "0" "alpha3-1"
500 28 6 2 "0" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.483564749220742 "rrzcwbeta3relbias" -0.409879133149978 "0" "alpha3-1"
500 28 6 2 "-0.5" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.383634279163084 "rrzcwbeta3relbias" -0.548433934555092 "-0.5" "alpha3-1"
500 28 6 2 "-1" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.417634996582365 "rrzcwbeta3relbias" 0.13151603573249 "-1" "alpha3-2"
500 28 6 2 "-0.5" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.469977233921457 "ccbeta3relbias" -0.736166797561718 "-0.5" "alpha3-2"
500 28 6 2 "0" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.486216596343179 "ccbeta3relbias" -0.07249360432138 "0" "alpha3-1"
500 28 6 2 "-1.5" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.311876958131586 "bbdcwbeta3relbias" 0.507501929514554 "-1.5" "alpha30"
500 28 6 2 "-1" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.334143377885784 "cwbeta3relbias" -0.04361192807984 "-1" "alpha3-1"
500 28 6 2 "-0.5" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.394671452236334 "ccbeta3relbias" -0.264716775294764 "-0.5" "alpha3-1"
500 28 6 2 "0" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.478046025695327 "rrzcwbeta3relbias" 0.434618734786498 "0" "alpha3-1"
500 28 6 2 "0" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.473495702005731 "cwbeta3relbias" 0.308731302653218 "0" "alpha3-1"
500 28 6 2 "-2" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.367053701015965 "cwbeta3relbias" -0.412133526745346 "-2" "alpha3-2"
500 28 6 2 "0" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.563438706908883 "rrzcwbeta3relbias" -0.045056440521652 "0" "alpha3-2"
500 28 6 2 "-0.5" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.382547441058079 "ccbeta3relbias" 0.119958899846466 "-0.5" "alpha30"
500 28 6 2 "0" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.55836410110764 "ccbeta3relbias" 0.176501378692282 "0" "alpha3-2"
500 28 6 2 "-0.5" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.375052794593834 "rrzcwbeta3relbias" -0.432971973321062 "-0.5" "alpha30"
500 28 6 2 "0" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.467304625199362 "cwbeta3relbias" -0.35253911797654 "0" "alpha30"
500 28 6 2 "0" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.49645180366647 "ccbeta3relbias" 0.132076981501392 "0" "alpha3-1"
500 28 6 2 "-1" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.43131441479599 "rrzcwbeta3relbias" -0.103381068978106 "-1" "alpha3-2"
500 28 6 2 "-1" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.333523537803138 "bbdcwbeta3relbias" 0.0704432173526981 "-1" "alpha30"
500 28 6 2 "0" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.475863077823288 "rrzcwbeta3relbias" -0.6058873141211 "0" "alpha30"
500 28 6 2 "-0.5" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.46965893990846 "cwbeta3relbias" -0.186218596466276 "-0.5" "alpha3-2"
500 28 6 2 "-1.5" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.378876535985957 "rrzcwbeta3relbias" 0.282637335296828 "-1.5" "alpha3-2"
500 28 6 2 "0" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.478210844239896 "rrzcwbeta3relbias" -0.016899302557652 "0" "alpha30"
500 28 6 2 "-1" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.334644010672658 "bbdcwbeta3relbias" -0.0657868633562479 "-1" "alpha30"
500 28 6 2 "-0.5" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.401765046296296 "bbdcwbeta3relbias" 0.359082983923536 "-0.5" "alpha3-1"
500 28 6 2 "-0.5" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.472114137483787 "cwbeta3relbias" -0.299978830973082 "-0.5" "alpha3-2"
500 28 6 2 "-1" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.335297499281403 "rrzcwbeta3relbias" 0.320842763849734 "-1" "alpha30"
500 28 6 2 "-2" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.351307189542484 "ccbeta3relbias" -0.693916056916878 "-2" "alpha30"
500 28 6 2 "-0.5" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.407396910868641 "cwbeta3relbias" 0.32808439732309 "-0.5" "alpha3-1"
500 28 6 2 "-2" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.341353819394115 "cwbeta3relbias" -0.662554803389218 "-2" "alpha30"
500 28 6 2 "-1.5" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.378706784319398 "rrzcwbeta3relbias" 0.0223088591423659 "-1.5" "alpha3-2"
500 28 6 2 "-0.5" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.466199505358615 "rrzcwbeta3relbias" 0.245527738699012 "-0.5" "alpha3-2"
500 28 6 2 "-1" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.332155477031802 "rrzcwbeta3relbias" 0.4465778970629 "-1" "alpha30"
500 28 6 2 "-1.5" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.368676072395611 "bbdcwbeta3relbias" -1.55090674412074 "-1.5" "alpha3-2"
500 28 6 2 "-1.5" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.308641975308642 "cwbeta3relbias" -0.1621256169221 "-1.5" "alpha3-1"
500 28 6 2 "-1" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.333981661572659 "cwbeta3relbias" -0.02548196820506 "-1" "alpha3-1"
500 28 6 2 "-1.5" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.330129605358963 "bbdcwbeta3relbias" 0.17620711631781 "-1.5" "alpha30"
500 28 6 2 "0" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.490893568582812 "bbdcwbeta3relbias" 0.117946901019156 "0" "alpha3-1"
500 28 6 2 "-1" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.432805755395683 "rrzcwbeta3relbias" -1.08468920906705 "-1" "alpha3-2"
500 28 6 2 "0" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.473706651506538 "rrzcwbeta3relbias" 0.0302117211472019 "0" "alpha30"
500 28 6 2 "-1.5" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.311904761904762 "bbdcwbeta3relbias" 0.150707459784242 "-1.5" "alpha3-1"
500 28 6 2 "-1" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.337023723939612 "bbdcwbeta3relbias" 0.078503210549536 "-1" "alpha30"
500 28 6 2 "-2" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.336046843758926 "bbdcwbeta3relbias" 0.0473452603665161 "-2" "alpha30"
500 28 6 2 "-1.5" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.304045422285309 "ccbeta3relbias" -1.11450290232566 "-1.5" "alpha3-1"
500 28 6 2 "-1" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.422388497652582 "bbdcwbeta3relbias" 0.298406158034504 "-1" "alpha3-2"
500 28 6 2 "-1.5" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.318221320973349 "cwbeta3relbias" 0.039319411909142 "-1.5" "alpha3-1"
500 28 6 2 "-1" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.331087860111796 "cwbeta3relbias" -0.29320669527822 "-1" "alpha30"
500 28 6 2 "0" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.488799220815361 "rrzcwbeta3relbias" -0.272622250174848 "0" "alpha3-1"
500 28 6 2 "-1" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.337731653076353 "bbdcwbeta3relbias" 0.0804975595700741 "-1" "alpha3-1"
500 28 6 2 "0" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.491964533111665 "bbdcwbeta3relbias" 0.622452476003502 "0" "alpha3-1"
500 28 6 2 "-0.5" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.394366197183099 "bbdcwbeta3relbias" 1.1580275600648 "-0.5" "alpha3-1"
